place,country_code,place_id
"265 km SSE of Katsuura, Japan",JP,2
"83 km S of Koshima, Japan",JP,13
"93 km SSW of Alberto Oviedo Mota, B.C., MX",MX,16
"92 km SW of Panguna, Papua New Guinea",PG,19
western Indian-Antarctic Ridge,AU,20
"37 km N of Metah?ra, Ethiopia",ET,32
"4 km S of Indios, Puerto Rico",PR,42
southern Mid-Atlantic Ridge,SH,57
"87 km ENE of Popondetta, Papua New Guinea",PG,59
"47 km NNW of ?wash, Ethiopia",ET,81
"74 km SSE of China, Japan",JP,97
"93 km SW of Panguna, Papua New Guinea",PG,106
"53 km W of Kirakira, Solomon Islands",SB,130
Southwest Indian Ridge,MG,133
"51 km ENE of Port-Olry, Vanuatu",VU,134
"86 km N of Brenas, Puerto Rico",PR,140
"19 km ENE of Tarata, Peru",PE,146
"167 km W of Lata, Solomon Islands",SB,149
"24 km NNE of Constitución, Chile",CL,151
"1 km ENE of Lapinigan, Philippines",PH,157
"15 km SSE of Lindsay, Texas",US,0
"28 km SE of Mina, Nevada",US,1
"38 km WSW of Ludlow, CA",US,3
"15 km SSE of Carbonado, Washington",US,4
"24 km NW of Stanley, Idaho",US,5
"57 km WSW of Adak, Alaska",US,6
"22 km ENE of Ashford, Washington",US,7
"69 km WNW of Beluga, Alaska",US,8
"80 km WNW of Beluga, Alaska",US,9
"0 km WSW of P?hala, Hawaii",US,10
"6 km NW of Cobb, CA",US,11
"9 km SW of Corona, CA",US,12
"47 km E of Fort Bidwell, California",US,14
"39 km NNE of Chenega, Alaska",US,15
"25 km WNW of Kalaoa, Hawaii",US,17
"14 km ESE of P?hala, Hawaii",US,18
"66 km SSW of Whites City, New Mexico",US,21
"41 km NW of Valdez, Alaska",US,22
"9 km ENE of Ocotillo Wells, CA",US,23
"9 km SSW of Holtville, CA",US,24
"25 km SSW of Kanosh, Utah",US,25
"69 km WNW of Tyonek, Alaska",US,26
"19 km S of Kettleman City, CA",US,27
"38 km NNE of Chenega, Alaska",US,28
"31 km SE of McCarthy, Alaska",US,29
"23 km NNW of Kernville, CA",US,30
"4 km NW of Fort Fairfield, Maine",US,31
"91 km W of Adak, Alaska",US,33
"28 km ENE of Little Lake, CA",US,34
"52 km SSE of Glacier View, Alaska",US,35
"71 km WNW of Happy Valley, Alaska",US,36
"9 km NNW of Warner Springs, CA",US,37
"93 km ENE of Kodiak, Alaska",US,38
"7 km NNW of Ocotillo Wells, CA",US,39
"25 km SSE of Egegik, Alaska",US,40
"3 km SW of Logan, Montana",US,41
"40 km ESE of Pedro Bay, Alaska",US,43
"3 km WNW of The Geysers, CA",US,44
"9 km S of Pistol River, Oregon",US,45
"48 km WNW of Indian Springs, Nevada",US,46
"27 km SW of Glacier View, Alaska",US,47
"2 km WNW of Anderson Springs, CA",US,48
"22 km NW of Fishhook, Alaska",US,49
"40 km NE of Adak, Alaska",US,50
"47 km ESE of Beatty, Nevada",US,51
"26 km SW of Adak, Alaska",US,52
"14 km SSE of Soldotna, Alaska",US,53
"39 km WNW of Indian Springs, Nevada",US,54
"12 km ENE of Ronan, Montana",US,55
"21 km NW of Desert Center, CA",US,56
"10 km NNW of Idyllwild, CA",US,58
"70 km WSW of Nikolski, Alaska",US,60
"23 km SSE of Dyer, Nevada",US,61
"44 km NW of Toyah, Texas",US,62
"19 km W of Sitka, Alaska",US,63
"67 km W of Tyonek, Alaska",US,64
"103 km W of Adak, Alaska",US,65
"2 km SW of Anderson Springs, CA",US,66
"24 km NW of Lima, Montana",US,67
"4 km ENE of Magna, Utah",US,68
"33 km WNW of Susitna, Alaska",US,69
"25 km W of Sitka, Alaska",US,70
"22 km W of Sitka, Alaska",US,71
"69 km SE of Denali National Park, Alaska",US,72
"3 km NNW of Fontana, CA",US,73
"4 km NE of Magna, Utah",US,74
"2 km WSW of San Ardo, CA",US,75
"17 km WNW of Boulder Creek, CA",US,76
"25 km SSE of Fern Forest, Hawaii",US,77
"15 km W of Petrolia, CA",US,78
"3 km WSW of Logan, Montana",US,79
"20 km W of Happy Valley, Alaska",US,80
"41 km WNW of Ninilchik, Alaska",US,82
"2 km S of Kapowsin, Washington",US,83
"25 km NNW of Toyah, Texas",US,84
"36 km W of Salamatof, Alaska",US,85
"3 km SE of Borrego Springs, CA",US,86
"59 km ENE of Independence, California",US,87
"70 km WSW of Cantwell, Alaska",US,88
"4 km E of Butte, Montana",US,89
"50 km ESE of Denali Park, Alaska",US,90
"55 km WNW of Happy Valley, Alaska",US,91
"14 km ENE of Willow, Alaska",US,92
"16 km NNE of Ashford, Washington",US,93
"60 km N of Petersville, Alaska",US,94
"10 km ENE of Ocotillo Wells, CA",US,95
"20 km W of Sitka, Alaska",US,96
"43 km E of Fort Bidwell, California",US,98
"32 km WNW of Stanley, Idaho",US,99
"27 km WNW of Hebgen Lake Estates, Montana",US,100
"9 km SSW of San Ardo, CA",US,101
"46 km WNW of Indian Springs, Nevada",US,102
"20 km E of Little Lake, CA",US,103
"44 km N of Chase, Alaska",US,104
"49 km E of Whittier, Alaska",US,105
"9 km E of Moreno Valley, CA",US,107
"3 km N of Fontana, CA",US,108
"4 km SW of Clayton, CA",US,109
"43 km SW of Unalaska, Alaska",US,110
"55 km E of Pedro Bay, Alaska",US,111
"27 km NNW of Sutton-Alpine, Alaska",US,112
"9 km ENE of Milpitas, CA",US,113
"74 km N of Tanana, Alaska",US,114
"10 km ESE of Alum Rock, CA",US,115
"12 km N of Houston, Alaska",US,116
"12 km NNW of Ocotillo, CA",US,117
"1 km SE of Mullan, Idaho",US,118
"43 km E of Denali National Park, Alaska",US,119
"30 km NW of Indian Springs, Nevada",US,120
"10 km WSW of Kelseyville, CA",US,121
"2 km W of Redwood Valley, CA",US,122
"6 km W of Klamath, CA",US,123
"171 km SE of Chignik, Alaska",US,124
"39 km NW of Valdez, Alaska",US,125
"2 km NE of Barberton, Washington",US,126
"28 km W of Shoshone, California",US,127
"25 km NW of Stanley, Idaho",US,128
"9 km WSW of Idyllwild, CA",US,129
"18 km ESE of Ocotillo, CA",US,131
"5 km SW of San Pasqual, CA",US,132
"66 km NNE of Van Horn, Texas",US,135
"4 km NE of Willow Creek, CA",US,136
"30 km NW of Stanley, Idaho",US,137
"16 km SE of Lincoln, Montana",US,138
"11 km  of Shelter Cove, CA",US,139
"8 km E of Healy, Alaska",US,141
"1 km NNE of Helper, Utah",US,142
"2 km ENE of Colton, CA",US,143
"42 km NE of Adak, Alaska",US,144
"18 km NNW of Borrego Springs, CA",US,145
"14 km E of Stanton, Texas",US,147
"11 km E of Pinnacles, CA",US,148
"29 km SSW of Glacier View, Alaska",US,150
"50 km WSW of Tatitlek, Alaska",US,152
"16 km SW of Willow, Alaska",US,153
"12 km ESE of Julian, CA",US,154
"37 km NW of Stanton, Texas",US,155
"8 km ESE of Ackerly, Texas",US,156
"9 km N of Willow, Alaska",US,158
"56 km WNW of Beatty, Nevada",US,159
"31 km ENE of Yigo Village, Guam",GU,175
"37 km ENE of Hinatuan, Philippines",PH,181
"43 km N of Khand?d, Afghanistan",AF,199
"48 km E of La Tirana, Chile",CL,202
central East Pacific Rise,EC,220
"29 km NNE of Bijie, China",CN,225
"262 km W of Adak, Alaska",RU,226
"243 km E of Kuril’sk, Russia",JP,232
"130 km SE of Kimbe, Papua New Guinea",PG,243
"12 km S of La Romana, Dominican Republic",DO,244
"18 km NE of Dagomys, Russia",RU,251
"10 km ESE of Sarpol-e Z?ah?b, Iran",IR,257
"33 km WNW of Ajab Sh?r, Iran",IR,270
"111 km S of Laugar, Iceland",IS,276
"94 km NNE of Cruz Bay, U.S. Virgin Islands",VG,278
"77 km SE of Pondaguitan, Philippines",PH,285
"49 km ESE of Punta Cana, Dominican Republic",DO,286
"271 km W of Adak, Alaska",RU,293
"36 km WNW of Linfen, China",CN,316
"40 km ESE of Ollagüe, Chile",BO,317
"61 km ESE of Hihifo, Tonga",TO,318
"7 km ESE of As Sulaym?n?yah, Iraq",IQ,325
southeast of Easter Island,CL,343
Tibetan Plateau,CN,351
Vanuatu region,VU,370
"100 km SW of Atocha, Bolivia",BO,385
"72 km N of Charlotte Amalie, U.S. Virgin Islands",VI,395
"13 km ESE of Denman, Australia",AU,404
"277 km SW of Gizo, Solomon Islands",SB,413
"78 km SSW of F?r?z?b?d, Iran",IR,414
"36 km ESE of Hengchun, Taiwan",TW,452
"68 km NNW of Kimbe, Papua New Guinea",PG,457
"236 km E of Levuka, Fiji",WF,465
"18 km SE of Miyazaki, Japan",JP,466
"44 km NNW of Gazli, Uzbekistan",UZ,484
west of Macquarie Island,AU,493
Macquarie Island region,NZ,500
Mid-Indian Ridge,MU,501
"73 km ESE of Monte Patria, Chile",CL,527
"122 km NNE of Lospalos, Timor Leste",TL,528
"42 km ENE of Nichinan, Japan",JP,529
"120 km S of Akureyri, Iceland",IS,541
"32 km N of Camiña, Chile",CL,552
"11 km SSE of Guayaquil, Ecuador",EC,558
"54 km NNE of Punta Cana, Dominican Republic",DO,570
"81 km W of Pangai, Tonga",TO,601
"40 km NNW of Måløy, Norway",NO,602
"7 km S of Princeton, Canada",CA,623
"92 km WNW of Aykol, China",CN,629
"13 km SSW of Locumba, Peru",PE,634
"24 km N of Wakefield, Canada",CA,647
Southwest Indian Ridge,RE,654
"13 km SW of Palora, Ecuador",EC,674
"74 km ENE of Quorn, Australia",AU,677
south of the Kermadec Islands,NZ,692
"Bonin Islands, Japan region",JP,706
"11 km ESE of Camiña, Chile",BO,719
"27 km WNW of Bantogon, Philippines",PH,731
"251 km E of Levuka, Fiji",WF,760
"15 km S of Princeton, Canada",CA,767
"Devon Island, Nunavut, Canada",CA,775
"22 km SW of Balangonan, Philippines",PH,831
"14 km E of North Saanich, Canada",CA,832
"69 km N of Yakutat, Alaska",CA,833
"76 km SSE of Pondaguitan, Philippines",PH,842
"29 km SW of Bahía Solano, Colombia",CO,849
central Mid-Atlantic Ridge,BR,853
"266 km ENE of Lospalos, Timor Leste",TL,859
"0 km W of Mediis, Italy",IT,863
"67 km SW of Port-Vila, Vanuatu",VU,878
"43 km SW of Jiquilillo, Nicaragua",NI,893
Southern Tibetan Plateau,CN,917
"81 km N of Barishal, Pakistan",PK,918
"161 km NE of Mi?r?tah, Libya",LY,919
"177 km W of Hihifo, Tonga",TO,941
"261 km W of Adak, Alaska",RU,942
"43 km SSW of Ollagüe, Chile",CL,961
"97 km E of Levuka, Fiji",WF,984
"25 km ENE of Shikotan, Russia",RU,994
"12 km SW of Silos, Colombia",CO,999
"172 km NE of Lospalos, Timor Leste",TL,1005
"23 km SSW of Hualien City, Taiwan",TW,1006
"8 km W of Pablo L. Sidar, Mexico",MX,267
"14 km WNW of Progreso, B.C., MX",MX,538
"21 km ESE of Aquila, Mexico",MX,635
"16 km WSW of Delta, B.C., MX",MX,698
"13 km W of Alberto Oviedo Mota, B.C., MX",MX,732
"9 km NNE of Jesús Carranza, Mexico",MX,759
"106 km WSW of Puerto Madero, Mexico",MX,766
"103 km SSE of Wonosari, Indonesia",ID,164
"186 km W of Abepura, Indonesia",ID,213
"101 km SW of Nabire, Indonesia",ID,292
"216 km S of Sarangani, Philippines",ID,324
"123 km ESE of Bitung, Indonesia",ID,542
"249 km SSW of Jimbaran, Indonesia",ID,551
"73 km W of Tobelo, Indonesia",ID,745
"38 km SSE of Dompu, Indonesia",ID,804
"11 km ENE of Metah?ra, Ethiopia",ET,238
"9 km SSW of ?wash, Ethiopia",ET,273
"12 km NW of ?wash, Ethiopia",ET,277
"1 km WNW of ?wash, Ethiopia",ET,323
"32 km N of ?wash, Ethiopia",ET,337
"0 km SSW of Metah?ra, Ethiopia",ET,489
"33 km NNW of ?wash, Ethiopia",ET,496
"20 km NW of Metah?ra, Ethiopia",ET,521
"16 km SW of ?wash, Ethiopia",ET,593
"30 km N of ?wash, Ethiopia",ET,600
"20 km N of ?wash, Ethiopia",ET,628
"49 km NNW of ?wash, Ethiopia",ET,662
"21 km E of ?wash, Ethiopia",ET,725
"17 km N of ?wash, Ethiopia",ET,803
"7 km ESE of Metah?ra, Ethiopia",ET,841
"2 km NNW of ?wash, Ethiopia",ET,864
"25 km SE of Metah?ra, Ethiopia",ET,930
"28 km S of Metah?ra, Ethiopia",ET,934
"41 km NNW of ?wash, Ethiopia",ET,993
"27 km WNW of Rincón, Puerto Rico",PR,167
"20 km SE of El Negro, Puerto Rico",PR,182
"45 km N of Hatillo, Puerto Rico",PR,203
"5 km E of La Parguera, Puerto Rico",PR,360
"2 km WNW of Tallaboa, Puerto Rico",PR,386
"74 km N of Brenas, Puerto Rico",PR,391
"40 km N of Hatillo, Puerto Rico",PR,490
"1 km E of Isabela, Puerto Rico",PR,502
"2 km NW of Indios, Puerto Rico",PR,503
"79 km N of Culebra, Puerto Rico",PR,641
"5 km SSE of Indios, Puerto Rico",PR,681
"1 km N of Maria Antonia, Puerto Rico",PR,686
"11 km SSE of Guánica, Puerto Rico",PR,737
"44 km N of Hatillo, Puerto Rico",PR,792
"7 km SW of Guánica, Puerto Rico",PR,793
"6 km SE of Maria Antonia, Puerto Rico",PR,794
"4 km WSW of Guánica, Puerto Rico",PR,816
"3 km S of Utuado, Puerto Rico",PR,838
"83 km NW of San Antonio, Puerto Rico",PR,865
"43 km NNW of Petersville, Alaska",US,160
"61 km S of Whites City, New Mexico",US,161
"7 km N of Running Springs, CA",US,162
"79 km NW of Ninilchik, Alaska",US,163
"28 km NNE of Ugashik, Alaska",US,165
"11 km SE of Lima, Montana",US,166
"16 km ENE of Nikiski, Alaska",US,168
"33 km NNW of Sutton-Alpine, Alaska",US,169
"13 km W of Toms Place, CA",US,170
"30 km WNW of Petrolia, CA",US,171
"14 km W of P?hala, Hawaii",US,172
"17 km NE of Yerington, Nevada",US,173
"8 km WNW of West Glacier, Montana",US,174
"54 km SE of Denali National Park, Alaska",US,176
"51 km N of Lake Louise, Alaska",US,177
"13 km ESE of Hawthorne, Nevada",US,178
"17 km SE of Manley Hot Springs, Alaska",US,179
"31 km N of Spencer, Idaho",US,180
"19 km NE of Kukuihaele, Hawaii",US,183
"17 km ESE of Julian, CA",US,184
"4 km SE of Ontario, CA",US,185
"21 km NE of Big Bear City, CA",US,186
"10 km W of Whitefield, Oklahoma",US,187
"47 km E of Beatty, Nevada",US,188
"35 km W of Tyonek, Alaska",US,189
"37 km SSE of Goldfield, Nevada",US,190
"0 km SSE of Julian, CA",US,191
"3 km SE of Carney, Oklahoma",US,192
"21 km SW of Charlotte, Texas",US,193
"65 km WNW of Petrolia, CA",US,194
"25 km ENE of Honaunau-Napoopoo, Hawaii",US,195
"3 km ESE of Lincoln, Montana",US,196
"10 km W of Anza, CA",US,197
"65 km WNW of Beluga, Alaska",US,198
"3 km S of Round Valley, CA",US,200
